Olive;TT2O;;;649;649;649;649;649;649;649;699;699;699
Putty/Coyote;TT2C;;;649;649;649;649;649;649;649;699;699;699
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Reactor Shorts;Code;Image;ColourImage;S;M;L;;;;;;;
3D;TDFL;;;;;;;;;;;;
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Warrior Shorts;Code;Image;ColourImage;28;30;32;34;36;38;40;42;44;46
3D;TDWS;;;499;499;499;499;499;499;499;544;544;544
Shadows;SWS;;;485;485;485;485;485;485;485;527;527;527
Military Olive;TWSM;;;485;485;485;485;485;485;485;527;527;527
Indigo;TWSI;;;485;485;485;485;485;4852;485;527;527;527
Khaki;TWSK;;;485;485;485;485;485;485;485;527;527;527
Olive;TWSO;;;;;;;;;;;;
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Essential Shorts;Code;Image;ColourImage;28;30;32;34;36;38;40;42;44;46
Khaki;KBS;;;294;294;294;294;294;294;294;294;294;294
Military Olive;MBS;;;294;294;294;294;294;294;294;294;294;294
Putty;OBS;;;294;294;294;294;294;294;294;294;294;294
Indigo;IBS;;;0;0;0;;;;;;;
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Zip Leafy Hooded Top;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
3D;ZLT;;;834;834;834;834;837;837;;;;
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Zip Leafy Pants;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
3D;ZLP;;;492;492;492;492;492;492;;;;
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Zip Mesh Suit Top;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
3D;ZMT;;;328;328;328;328;328;328;;;;
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Zip Mesh Suit Pants;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
3D;ZMP;;;251;251;251;251;251;251;;;;
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Ghilly Suit Top;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
3D;GT;;;737;737;737;737;768;768;;;;
TAGS;-;-;-;-;A;;;;;;;;
;;;;;;;;;;;;;
Ghilly Suit Pants;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
3D;GP;;;552;552;552;552;570;570;;;;
TAGS;-;-;-;-;A;;;;;;;;
;;;;;;;;;;;;;
Lined Waist Coat;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
3D;TDLWC;;;;;;;;;;;;
Shadows;SLWC;;;742;742;742;742;760;760;;;;
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
Wing Shooters Waistcoat;Code;Image;ColourImage;S;M;L;XL;2XL;3XL;;;;
3D;SJ;;;682;682;682;682;708;708;;;;
TAGS;-;-;-;-;-;;;;;;;;
;;;;;;;;;;;;;
